NANDINA;PESO;VALOR CIF;VALOR FOB;GRAVAMEN
8432100000;732924;2418203;2061480;0
1206001000;732634;5057031;4908698;25251
2005700000;731320;712763;654648;86202
3917299900;730801;2048870;1923750;43175
3214900000;728739;1034724;948143;612218
6802910000;727279;548697;467833;507975
8707909000;725617;3379687;3136435;840930
8535300000;725407;5670164;5300816;2001545
7216500000;723226;398032;341829;209843
7007290000;720077;530022;410456;66924
9603210000;719206;3031624;2729723;1359567
8474109000;718151;5525544;5079373;879495
8215990000;715391;2087752;2027368;848443
7007210000;713218;1543033;1403093;815595
4013900000;711111;1488186;1374399;747079
804502000;705940;107839;100745;112596
3824996000;705876;1646919;1503313;868171
8203200000;705024;1923108;1831852;959603
4407299000;704992;230718;218311;0
8539313000;704806;1167254;1122106;812448
8708302900;704188;4809206;4511361;2858572
8428330000;704034;3722960;3455314;171176
7006000000;703778;445332;359483;230285
810902000;702965;232237;216991;161656
