productos;kilos;valor
TORRES Y CASTILLETES,DE FUNDICION,HIERRO O ACERO;1524150;15776173
CABLES Y DEMAS CONDUCTORES ELECTRICOS,COAXIALES;1519087;30041770
VEHICULOS AUTOMOVILES PARA EL TRANSPORTE DE UN MAXIMO DE 16 PERSONAS, INCLUIDO EL CONDUCTOR, EQUIPADOS PARA LA PROPULSION CON MOTOR DE EMBOLO (PISTON) ALTERNATIVO, DE ENCENDIDO POR CHISPA Y CON MOTOR;1512105;60480260
COCHES,SILLAS Y VEHICULOS SIMILARES PARA TRANSPORTE DE NIÑOS;1498230;14647034
ALAMBRE DE HIERRO O ACERO SIN ALEAR,SIN REVESTIR,INCLUSO PULIDO;1494627;5937636
ACIDO CITRICO;1475052;10477796
MATERIAL DE ANDAMIAJE,ENCOFRADO,APEO O APUNTALAMIENTO DE FUNDICION,HIERRO O ACERO;1473736;18111631
RUEDAS Y SUS PARTES DE VEHICULOS AUTOMOVILES DE LAS PARTIDAS Nos 87.01 A 87.05;1465690;14023676
AMORTIGUADORES Y SUS PARTES;1444584;19386981
LOS DEMAS JUGUETES CON MOTOR;1426468;17513592
CARGADORAS Y PALAS CARGADORAS DE CARGA FRONTAL,AUTOPROPULSADAS;1410695;51662850
LOS DEMAS JUGUETES PRESENTADOS EN JUEGOS O SURTIDOS O EN PANOPLIAS;1357385;15752364
HIDROGENOORTOFOSFATO DE DIAMONIO (FOSFATO DIAMONICO);1354613;4406371
LAS DEMAS PLACAS Y HOJAS,SIN ARMAR,ESTRIADAS,ONDULADAS,ESTAMPADAS O SIMILARES DE VIDRIO COLADO O LAMINADO;1346344;3142894
SALES DEL ACIDO FORMICO: FORMIATO DE SODIO;1345268;2598047
LAS DEMAS COCINAS DE COMBUSTIBLE GASEOSO, O DE GAS Y OTROS COMBUSTIBLES;1340510;26480404
AGENTES DE SUPERFICIE ORGANICOS,ANIONICOS: SULFATOS O SULFONATOS DE ALCOHOLES GRASOS;1340467;12841467
